weapon_m_id,name,category,price_gp,dice_size,damage_type,bulk,hands,group,traits,sources_id,sources_pg,description
22,Glaive,Martial,2,8,S,2,2,Polearm,"Deadly d8, Forceful, Reach",1,280,"This polearm consists of a long, single-edged blade on the end of a 7-foot pole. It is extremely effective at delivering lethal cuts at a distance."
23,Gnome Hooked Hammer,Martial,2,6,B,1,1,Hammer,"Gnome, Trip, Two-Hand d10, Uncommon, Versatile P",1,281,This gnome tool and weapon features a hammer at one end and a curved pick on the other. It’s such a strange and awkward weapon that others think the gnomes are slightly erratic for using it.
24,Greataxe,Martial,1,12,S,2,2,Axe,Sweep,1,280,"This large battle axe is too heavy to wield with only one hand. Many greataxes incorporate two blades, and they are often “bearded,” having a hook at the bottom to increase the strength of their chopping power."
25,Greatclub,Martial,1,10,B,2,2,Club,"Backswing, Shove",1,280,"While many greatclubs are intricately carved, others are little more than a sturdy tree branch. These massive clubs are too heavy to wield with only one hand."
26,Greatpick,Martial,2,10,P,2,2,Pick,Fatal d12,1,280,This pick has a longer handle and broader head than a regular pick. It is too heavy to wield in one hand.
27,Greatsword,Martial,2,12,S,2,2,Sword,Versatile P,1,280,This immense two-handed sword is nearly as tall as its wielder. Its lower blade is often somewhat dulled to allow it to be gripped for extra leverage in close-quarter fights.
28,Guisarme,Martial,2,10,S,2,2,Polearm,"Reach, Trip",1,280,"This polearm bears a long, often one‑sided, curved blade with a hook protruding from the blunt side of the blade, which can allow its wielder to trip opponents at a distance. Its shaft is usually 8 feet long."
29,Halberd,Martial,2,10,P,2,2,Polearm,"Reach, Versatile S",1,280,"This polearm has a relatively short, 5-foot shaft. The business end is a long spike with an axe blade attached."
30,Hatchet,Martial,0.4,6,S,0.1,1,Axe,"Agile, Sweep, Thrown 10 ft.",1,280,This small axe can be used in close combat or thrown.
31,Horsechopper,Martial,0.9,8,S,2,2,Polearm,"Goblin, Reach, Trip, Uncommon, Versatile P",1,281,"Created by goblins to battle horses, this weapon is essentially a long shaft ending in a blade with a large hook."
32,Kama,Martial,1,6,S,0.1,1,Knife,"Agile, Monk, Trip, Uncommon",1,281,"Similar to a sickle and used in some regions to reap grain, a kama has a short, slightly curved blade and a wooden handle."
33,Katana,Martial,2,6,S,1,1,Sword,"Deadly d8, Two-Hand d10, Uncommon, Versatile P",1,281,"A katana is a curved, single-edged sword known for its wickedly sharped blade."
34,Kukri,Martial,0.6,6,S,0.1,1,Knife,"Agile, Finesse, Trip, Uncommon",1,281,The blade of this foot-long knife curves inward and lacks a cross guard at the hilt.
35,Lance,Martial,1,8,P,2,2,Spear,"Deadly d8, Jousting d6, Reach",1,280,This spear-like weapon is used by a mounted creature to deal a great deal of damage.
36,Light Hammer,Martial,0.3,6,B,0.1,1,Hammer,"Agile, Thrown 20 ft.",1,281,"This smaller version of the warhammer has a wooden or metal shaft ending in a metal head. Unlike its heavier cousin, it is light enough to throw."
37,Light Pick,Martial,0.4,4,P,0.1,1,Pick,"Agile, Fatal d8",1,281,A light pick is a modified mining implement with a wooden shaft ending in a pick head crafted more to pierce armor and flesh than chip rocks.
38,Longsword,Martial,1,8,S,1,1,Sword,Versatile P,1,281,Longswords can be one-edged or two‑edged swords. Their blades are heavy and they’re between 3 and 4 feet in length.
39,Main-gauche,Martial,0.5,4,P,0.1,1,Knife,"Agile, Disarm, Finesse, Parry, Versatile S",1,281,This parrying dagger features a robust guard to protect the wielder’s hand.
40,Maul,Martial,3,12,B,2,2,Hammer,Shove,1,281,Mauls are massive warhammers that must be swung with two hands.
41,Nunchaku,Martial,0.2,6,B,0.1,1,Club,"Backswing, Disarm, Finesse, Monk, Uncommon",1,281,The nunchaku is constructed of two wooden or metal bars connected by a short length of rope or chain.
42,Orc Knuckle Dagger,Martial,0.7,6,P,0.1,1,Knife,"Agile, Disarm, Orc, Uncommon",1,281,"This stout, metal blade of orc design has a horizontal basket hilt with blades jutting from each end, or sometimes one blade like that of a katar."
43,Pick,Martial,0.7,6,P,1,1,Pick,Fatal d10,1,281,"A pick designed solely for combat has a sturdy wooden shaft and a heavy, pointed head to deliver devastating blows."
44,Ranseur,Martial,2,10,P,2,2,Polearm,"Disarm, Reach",1,281,This polearm is a long trident with a central prong that’s longer than the other two.
45,Rapier,Martial,2,6,P,1,1,Sword,"Deadly d8, Disarm, Finesse",1,281,The rapier is a long and thin piercing blade with a basket hilt. It is prized among many as a dueling weapon.
46,Sai,Martial,0.6,4,P,0.1,1,Knife,"Agile, Disarm, Finesse, Monk, Uncommon, Versatile B",1,281,This piercing dagger is a metal spike flanked by a pair of prongs that can be used to trap an enemy’s weapon.
47,Sap,Martial,0.1,6,B,0.1,1,Club,"Agile, Nonlethal",1,281,"A sap has a soft wrapping around a dense core, typically a leather sheath around a lead rod. Its head is wider than its grip to disperse the force of a blow, as the weapon’s purpose is to knock out its victim rather than to draw blood."
48,Scimitar,Martial,1,6,S,1,1,Sword,"Forceful, Sweep",1,281,This one-handed curved blade is sharp on one side.
49,Scythe,Martial,2,10,S,2,2,Polearm,"Deadly d10, Trip",1,281,"Derived from a farming tool used to mow down long grains and cereals, this weapon has a long wooden shaft with protruding handles, capped with a curved blade set at a right angle."
50,Shield Bash,Martial,0,4,B,0,1,Shield,,1,281,"A shield bash is not actually a weapon, but a maneuver in which you thrust or swing your shield to hit your foe with an impromptu attack."
51,Shield Boss,Martial,0.5,6,B,0,1,Shield,Attached to Shield,1,281,"Typically a round, convex, or conical piece of thick metal attached to the center of a shield, a shield boss increases the bludgeoning damage of a shield bash."
52,Shield Spikes,Martial,0.5,6,P,0,1,Shield,Attached to Shield,1,281,These metal spikes are strategically placed on the defensive side of the shield to deal piercing damage with a shield bash.
53,Shortsword,Martial,0.9,6,P,0.1,1,Sword,"Agile, Finesse, Versatile S",1,281,"These blades come in a variety of shapes and styles, but they are typically 2 feet long."
54,Spiked Chain,Martial,3,8,S,1,2,Flail,"Disarm, Finesse, Trip, Uncommon",1,281,This 4‑foot‑long length of chain is covered with barbs and has spikes on one or both ends. Some feature metal hoops used as handgrips.
55,Starknife,Martial,2,4,P,0.1,1,Knife,"Agile, Deadly d6, Finesse, Thrown 20 ft., Versatile S",1,281,"From a central metal ring, four tapering metal blades extend like points on a compass rose. When gripping a starknife from the center, the wielder can use it as a melee weapon. It can also be thrown short distances."
56,Temple Sword,Martial,2,8,S,1,1,Sword,"Monk, Trip, Uncommon",1,281,"This heavy blade is favored by guardians of religious sites. It has a distinctive, crescent-shaped blade that seems to be a mix of a sickle and sword. It often has holes drilled into the blade or the pommel so that bells or other holy trinkets can be affixed to the weapon as an aid for prayer or mediation."
57,Trident,Martial,1,8,P,1,1,Spear,Thrown 20 ft.,1,281,"This three-pronged, spear-like weapon typically has a 4-foot shaft. Like a spear, it can be wielded with one hand or thrown."
58,War Flair,Martial,2,10,B,2,2,Flail,"Disarm, Sweep, Trip",1,281,
59,Warhammer,Martial,1,8,B,1,1,Hammer,Shove,1,281,"This weapon has a wooden shaft ending in a large, heavy metal head. The head of the hammer might be single-sided or double-sided, but it’s always capable of delivering powerful bludgeoning blows."
60,Whip,Martial,0.1,4,S,1,1,Flail,"Disarm, Finesse, Nonlethal, Reach, Trip",1,281,"This long strand of thick leather, often braided, delivers a painful but nonlethal slash at a distance, usually accompanied by a distinctive cracking sound."
61,Aklys,Advanced,5,6,B,1,1,Club,"Ranged Trip, Tethered, Thrown 20 feet, Trip, Uncommon",2,85,
62,Dwarven War Axe,Advanced,3,8,S,2,1,Axe,"Dwarf, Sweep, Two-Hand d12",1,281,"This favored weapon of the dwarves has a large, ornate head mounted on a thick handle. This powerful axe can be wielded with one hand or two."
63,Gnome Flickmace,Advanced,3,8,B,2,1,Flail,"Gnome, Reach, Uncommon",1,281,"More a flail than a mace, this weapon has a short handle attached to a length of chain with a ball at the end. The ball is propelled to its reach with the flick of the wrist, the momentum of which brings the ball back to the wielder after the strike."
64,Orc Necksplitter,Advanced,2,8,S,1,1,Axe,"Forceful, Orc, Sweep, Uncommon",1,281,This single-bladed bearded axe has a jagged blade that’s perfect for separating bone from tendon and cartilage.
65,Sawtooth Saber,Advanced,5,8,S,0.1,1,Sword,"Agile, Finesse, Twin, Uncommon",1,281,"The signature weapon of the Red Mantis assassins, this curved blade is serrated like a saw, hence the name."
66,Ogre Hook,Advanced,1,10,P,2,2,Pick,"Deadly 1d10, Trip, Uncommon",2,253,"Ogres are known for using immense, curved picks called ogre hooks."
