name,name_aon,level,url_search,url_aon,match
City Scavenger,City Scavenger,1,https://2e.aonprd.com/Search.aspx?query=City Scavenger,https://2e.aonprd.com/Feats.aspx?ID=39,True
Goblin Lore,Goblin Lore,1,https://2e.aonprd.com/Search.aspx?query=Goblin Lore,https://2e.aonprd.com/Feats.aspx?ID=40,True
Goblin Scuttle,Goblin Scuttle,1,https://2e.aonprd.com/Search.aspx?query=Goblin Scuttle,https://2e.aonprd.com/Feats.aspx?ID=41,True
Goblin Song,Goblin Song,1,https://2e.aonprd.com/Search.aspx?query=Goblin Song,https://2e.aonprd.com/Feats.aspx?ID=42,True
Goblin Weapon Familiarity,Goblin Weapon Familiarity,1,https://2e.aonprd.com/Search.aspx?query=Goblin Weapon Familiarity,https://2e.aonprd.com/Feats.aspx?ID=43,True
Junk Tinker,Junk Tinker,1,https://2e.aonprd.com/Search.aspx?query=Junk Tinker,https://2e.aonprd.com/Feats.aspx?ID=44,True
Rough Rider,Rough Rider,1,https://2e.aonprd.com/Search.aspx?query=Rough Rider,https://2e.aonprd.com/Feats.aspx?ID=45,True
Very Sneaky,Very Sneaky,1,https://2e.aonprd.com/Search.aspx?query=Very Sneaky,https://2e.aonprd.com/Feats.aspx?ID=46,True
Goblin Weapon Frenzy,Goblin Weapon Frenzy,5,https://2e.aonprd.com/Search.aspx?query=Goblin Weapon Frenzy,https://2e.aonprd.com/Feats.aspx?ID=47,True
Cave Climber,Cave Climber,9,https://2e.aonprd.com/Search.aspx?query=Cave Climber,https://2e.aonprd.com/Feats.aspx?ID=48,True
Skittering Scuttle,Skittering Scuttle,9,https://2e.aonprd.com/Search.aspx?query=Skittering Scuttle,https://2e.aonprd.com/Feats.aspx?ID=49,True
Goblin Weapon Expertise,Goblin Weapon Expertise,13,https://2e.aonprd.com/Search.aspx?query=Goblin Weapon Expertise,https://2e.aonprd.com/Feats.aspx?ID=50,True
"Very, Very Sneaky",,-1,"https://2e.aonprd.com/Search.aspx?query=Very, Very Sneaky",https://2e.aonprd.com/Search.aspx?query=Very%2c+Very+Sneaky,False
Distracting Shadows,Distracting Shadows,1,https://2e.aonprd.com/Search.aspx?query=Distracting Shadows,https://2e.aonprd.com/Feats.aspx?ID=52,True
Halfling Lore,Halfling Lore,1,https://2e.aonprd.com/Search.aspx?query=Halfling Lore,https://2e.aonprd.com/Feats.aspx?ID=53,True
Halfling Luck,Halfling Luck,1,https://2e.aonprd.com/Search.aspx?query=Halfling Luck,https://2e.aonprd.com/Feats.aspx?ID=54,True
Halfling Weapon Familiarity,Halfling Weapon Familiarity,1,https://2e.aonprd.com/Search.aspx?query=Halfling Weapon Familiarity,https://2e.aonprd.com/Feats.aspx?ID=55,True
Sure Feet,Sure Feet,1,https://2e.aonprd.com/Search.aspx?query=Sure Feet,https://2e.aonprd.com/Feats.aspx?ID=56,True
Titan Slinger,Titan Slinger,1,https://2e.aonprd.com/Search.aspx?query=Titan Slinger,https://2e.aonprd.com/Feats.aspx?ID=57,True
Unfettered Halfling,Unfettered Halfling,1,https://2e.aonprd.com/Search.aspx?query=Unfettered Halfling,https://2e.aonprd.com/Feats.aspx?ID=58,True
Watchful Halfling,Watchful Halfling,1,https://2e.aonprd.com/Search.aspx?query=Watchful Halfling,https://2e.aonprd.com/Feats.aspx?ID=59,True
Cultural Adaptability,Cultural Adaptability,5,https://2e.aonprd.com/Search.aspx?query=Cultural Adaptability,https://2e.aonprd.com/Feats.aspx?ID=60,True
Halfling Weapon Trickster,Halfling Weapon Trickster,5,https://2e.aonprd.com/Search.aspx?query=Halfling Weapon Trickster,https://2e.aonprd.com/Feats.aspx?ID=61,True
Guiding Luck,Guiding Luck,9,https://2e.aonprd.com/Search.aspx?query=Guiding Luck,https://2e.aonprd.com/Feats.aspx?ID=62,True
Irrepressible,Irrepressible,9,https://2e.aonprd.com/Search.aspx?query=Irrepressible,https://2e.aonprd.com/Feats.aspx?ID=63,True
Ceaseless Shadows,Ceaseless Shadows,13,https://2e.aonprd.com/Search.aspx?query=Ceaseless Shadows,https://2e.aonprd.com/Feats.aspx?ID=64,True
Halfling Weapon Expertise,Halfling Weapon Expertise,13,https://2e.aonprd.com/Search.aspx?query=Halfling Weapon Expertise,https://2e.aonprd.com/Feats.aspx?ID=65,True
Adapted Cantrip,Adapted Cantrip,1,https://2e.aonprd.com/Search.aspx?query=Adapted Cantrip,https://2e.aonprd.com/Feats.aspx?ID=66,True
Cooperative Nature,Cooperative Nature,1,https://2e.aonprd.com/Search.aspx?query=Cooperative Nature,https://2e.aonprd.com/Feats.aspx?ID=67,True
General Training,General Training,1,https://2e.aonprd.com/Search.aspx?query=General Training,https://2e.aonprd.com/Feats.aspx?ID=68,True
Haughty Obstinacy,Haughty Obstinacy,1,https://2e.aonprd.com/Search.aspx?query=Haughty Obstinacy,https://2e.aonprd.com/Feats.aspx?ID=69,True
Natural Ambition,Natural Ambition,1,https://2e.aonprd.com/Search.aspx?query=Natural Ambition,https://2e.aonprd.com/Feats.aspx?ID=70,True
Natural Skill,Natural Skill,1,https://2e.aonprd.com/Search.aspx?query=Natural Skill,https://2e.aonprd.com/Feats.aspx?ID=71,True
Unconventional Weaponry,Unconventional Weaponry,1,https://2e.aonprd.com/Search.aspx?query=Unconventional Weaponry,https://2e.aonprd.com/Feats.aspx?ID=72,True
Adaptive Adept,Adaptive Adept,5,https://2e.aonprd.com/Search.aspx?query=Adaptive Adept,https://2e.aonprd.com/Feats.aspx?ID=73,True
Clever Improviser,Clever Improviser,5,https://2e.aonprd.com/Search.aspx?query=Clever Improviser,https://2e.aonprd.com/Feats.aspx?ID=74,True
Cooperataive Soul,,9,https://2e.aonprd.com/Search.aspx?query=Cooperataive Soul,https://2e.aonprd.com/Spells.aspx?ID=21,False
Incredible Improvisation,Incredible Improvisation,9,https://2e.aonprd.com/Search.aspx?query=Incredible Improvisation,https://2e.aonprd.com/Feats.aspx?ID=76,True
Multitalented,Multitalented,9,https://2e.aonprd.com/Search.aspx?query=Multitalented,https://2e.aonprd.com/Feats.aspx?ID=77,True
Unconventional Expertise,Unconventional Expertise,13,https://2e.aonprd.com/Search.aspx?query=Unconventional Expertise,https://2e.aonprd.com/Feats.aspx?ID=78,True
Elf Atavism,Elf Atavism,1,https://2e.aonprd.com/Search.aspx?query=Elf Atavism,https://2e.aonprd.com/Feats.aspx?ID=79,True
Inspire Imitation,Inspire Imitation,5,https://2e.aonprd.com/Search.aspx?query=Inspire Imitation,https://2e.aonprd.com/Feats.aspx?ID=80,True
Supernatural Charm,Supernatural Charm,5,https://2e.aonprd.com/Search.aspx?query=Supernatural Charm,https://2e.aonprd.com/Feats.aspx?ID=81,True
Monstrous Peacemaker,Monstrous Peacemaker,1,https://2e.aonprd.com/Search.aspx?query=Monstrous Peacemaker,https://2e.aonprd.com/Feats.aspx?ID=82,True
Orc Ferocity,Orc Ferocity,1,https://2e.aonprd.com/Search.aspx?query=Orc Ferocity,https://2e.aonprd.com/Feats.aspx?ID=83,True
Orc Sight,Orc Sight,1,https://2e.aonprd.com/Search.aspx?query=Orc Sight,https://2e.aonprd.com/Feats.aspx?ID=84,True
Orc Superstition,Orc Superstition,1,https://2e.aonprd.com/Search.aspx?query=Orc Superstition,https://2e.aonprd.com/Feats.aspx?ID=85,True
Orc Weapon Famailiarity,Orc Weapon Famailiarity,1,https://2e.aonprd.com/Search.aspx?query=Orc Weapon Famailiarity,https://2e.aonprd.com/Feats.aspx?ID=86,True
Orc Weapon Carnage,Orc Weapon Carnage,5,https://2e.aonprd.com/Search.aspx?query=Orc Weapon Carnage,https://2e.aonprd.com/Feats.aspx?ID=87,True
Victorious Vigor,Victorious Vigor,5,https://2e.aonprd.com/Search.aspx?query=Victorious Vigor,https://2e.aonprd.com/Feats.aspx?ID=88,True
Pervasive Superstition,Pervasive Superstition,9,https://2e.aonprd.com/Search.aspx?query=Pervasive Superstition,https://2e.aonprd.com/Feats.aspx?ID=89,True
Incredible Ferocity,Incredible Ferocity,13,https://2e.aonprd.com/Search.aspx?query=Incredible Ferocity,https://2e.aonprd.com/Feats.aspx?ID=90,True
Orc Weapon Expertise,Orc Weapon Expertise,13,https://2e.aonprd.com/Search.aspx?query=Orc Weapon Expertise,https://2e.aonprd.com/Feats.aspx?ID=91,True
Alchemical Familiar,Alchemical Familiar,1,https://2e.aonprd.com/Search.aspx?query=Alchemical Familiar,https://2e.aonprd.com/Feats.aspx?ID=92,True
Alchemical Savant,Alchemical Savant,1,https://2e.aonprd.com/Search.aspx?query=Alchemical Savant,https://2e.aonprd.com/Feats.aspx?ID=93,True
Far Lobber,Far Lobber,1,https://2e.aonprd.com/Search.aspx?query=Far Lobber,https://2e.aonprd.com/Feats.aspx?ID=94,True
Quick Bomber,Quick Bomber,1,https://2e.aonprd.com/Search.aspx?query=Quick Bomber,https://2e.aonprd.com/Feats.aspx?ID=95,True
Poison Resistance (Alchemist),Poison Resistance,2,https://2e.aonprd.com/Search.aspx?query=Poison Resistance,https://2e.aonprd.com/Feats.aspx?ID=96,True
Revivifying Mutagen,Revivifying Mutagen,2,https://2e.aonprd.com/Search.aspx?query=Revivifying Mutagen,https://2e.aonprd.com/Feats.aspx?ID=97,True
Smoke Bomb,Smoke Bomb,2,https://2e.aonprd.com/Search.aspx?query=Smoke Bomb,https://2e.aonprd.com/Feats.aspx?ID=98,True
Calculated Splash,Calculated Splash,4,https://2e.aonprd.com/Search.aspx?query=Calculated Splash,https://2e.aonprd.com/Feats.aspx?ID=99,True
Efficient Alchemy,Efficient Alchemy,4,https://2e.aonprd.com/Search.aspx?query=Efficient Alchemy,https://2e.aonprd.com/Feats.aspx?ID=100,True
Enduring Alchemy,Enduring Alchemy,4,https://2e.aonprd.com/Search.aspx?query=Enduring Alchemy,https://2e.aonprd.com/Feats.aspx?ID=101,True
Combine Elixirs,Combine Elixirs,6,https://2e.aonprd.com/Search.aspx?query=Combine Elixirs,https://2e.aonprd.com/Feats.aspx?ID=102,True
Debilitating Bomb,Debilitating Bomb,6,https://2e.aonprd.com/Search.aspx?query=Debilitating Bomb,https://2e.aonprd.com/Feats.aspx?ID=103,True
Directional Bombs,Directional Bombs,6,https://2e.aonprd.com/Search.aspx?query=Directional Bombs,https://2e.aonprd.com/Feats.aspx?ID=104,True
Feral Mutagen,Feral Mutagen,8,https://2e.aonprd.com/Search.aspx?query=Feral Mutagen,https://2e.aonprd.com/Feats.aspx?ID=105,True
Powerful Alchemy,Powerful Alchemy,8,https://2e.aonprd.com/Search.aspx?query=Powerful Alchemy,https://2e.aonprd.com/Feats.aspx?ID=106,True
Sticky Bomb,Sticky Bomb,8,https://2e.aonprd.com/Search.aspx?query=Sticky Bomb,https://2e.aonprd.com/Feats.aspx?ID=107,True
Elastic Mutagen,Elastic Mutagen,10,https://2e.aonprd.com/Search.aspx?query=Elastic Mutagen,https://2e.aonprd.com/Feats.aspx?ID=108,True
Expanded Splash,Expanded Splash,10,https://2e.aonprd.com/Search.aspx?query=Expanded Splash,https://2e.aonprd.com/Feats.aspx?ID=109,True
Greater Debilitating Bomb,Greater Debilitating Bomb,10,https://2e.aonprd.com/Search.aspx?query=Greater Debilitating Bomb,https://2e.aonprd.com/Feats.aspx?ID=110,True
Merciful Elixir,Merciful Elixir,10,https://2e.aonprd.com/Search.aspx?query=Merciful Elixir,https://2e.aonprd.com/Feats.aspx?ID=111,True
Potent Poisoner,Potent Poisoner,10,https://2e.aonprd.com/Search.aspx?query=Potent Poisoner,https://2e.aonprd.com/Feats.aspx?ID=112,True
Extend Elixir,Extend Elixir,12,https://2e.aonprd.com/Search.aspx?query=Extend Elixir,https://2e.aonprd.com/Feats.aspx?ID=113,True
Invincible Mutagen,Invincible Mutagen,12,https://2e.aonprd.com/Search.aspx?query=Invincible Mutagen,https://2e.aonprd.com/Feats.aspx?ID=114,True
Uncanny Bombs,Uncanny Bombs,12,https://2e.aonprd.com/Search.aspx?query=Uncanny Bombs,https://2e.aonprd.com/Feats.aspx?ID=115,True
Glib Mutagen,Glib Mutagen,14,https://2e.aonprd.com/Search.aspx?query=Glib Mutagen,https://2e.aonprd.com/Feats.aspx?ID=116,True
Greater Merciful Elixir,Greater Merciful Elixir,14,https://2e.aonprd.com/Search.aspx?query=Greater Merciful Elixir,https://2e.aonprd.com/Feats.aspx?ID=117,True
True Debilitating Bomb,True Debilitating Bomb,14,https://2e.aonprd.com/Search.aspx?query=True Debilitating Bomb,https://2e.aonprd.com/Feats.aspx?ID=118,True
Eternal Elixir,Eternal Elixir,16,https://2e.aonprd.com/Search.aspx?query=Eternal Elixir,https://2e.aonprd.com/Feats.aspx?ID=119,True
Exploitive Bomb,Exploitive Bomb,16,https://2e.aonprd.com/Search.aspx?query=Exploitive Bomb,https://2e.aonprd.com/Feats.aspx?ID=120,True
Genius Mutagen,Genius Mutagen,16,https://2e.aonprd.com/Search.aspx?query=Genius Mutagen,https://2e.aonprd.com/Feats.aspx?ID=121,True
Persistent Mutagen,Persistent Mutagen,16,https://2e.aonprd.com/Search.aspx?query=Persistent Mutagen,https://2e.aonprd.com/Feats.aspx?ID=122,True
Improbable Elixirs,Improbable Elixirs,18,https://2e.aonprd.com/Search.aspx?query=Improbable Elixirs,https://2e.aonprd.com/Feats.aspx?ID=123,True
Mindblank Mutagen,Mindblank Mutagen,18,https://2e.aonprd.com/Search.aspx?query=Mindblank Mutagen,https://2e.aonprd.com/Feats.aspx?ID=124,True
Miracle Worker,Miracle Worker,18,https://2e.aonprd.com/Search.aspx?query=Miracle Worker,https://2e.aonprd.com/Feats.aspx?ID=125,True
Perfect Debilitation,Perfect Debilitation,18,https://2e.aonprd.com/Search.aspx?query=Perfect Debilitation,https://2e.aonprd.com/Feats.aspx?ID=126,True
Craft Philosopher’s Stone,,-1,https://2e.aonprd.com/Search.aspx?query=Craft Philosopher’s Stone,https://2e.aonprd.com/Search.aspx?query=Craft+Philosopher%u2019s+Stone,False
Mega Bomb,Mega Bomb,20,https://2e.aonprd.com/Search.aspx?query=Mega Bomb,https://2e.aonprd.com/Feats.aspx?ID=128,True
Perfect Mutagen,Perfect Mutagen,20,https://2e.aonprd.com/Search.aspx?query=Perfect Mutagen,https://2e.aonprd.com/Feats.aspx?ID=129,True
Acute Vision,Acute Vision,1,https://2e.aonprd.com/Search.aspx?query=Acute Vision,https://2e.aonprd.com/Feats.aspx?ID=130,True
Moment of Clarity,Moment of Clarity,1,https://2e.aonprd.com/Search.aspx?query=Moment of Clarity,https://2e.aonprd.com/Feats.aspx?ID=131,True
Raging Intimidation,Raging Intimidation,1,https://2e.aonprd.com/Search.aspx?query=Raging Intimidation,https://2e.aonprd.com/Feats.aspx?ID=132,True
Raging Thrower,Raging Thrower,1,https://2e.aonprd.com/Search.aspx?query=Raging Thrower,https://2e.aonprd.com/Feats.aspx?ID=133,True
Sudden Charge,Sudden Charge,1,https://2e.aonprd.com/Search.aspx?query=Sudden Charge,https://2e.aonprd.com/Feats.aspx?ID=134,True
Acute Scent,Acute Scent,2,https://2e.aonprd.com/Search.aspx?query=Acute Scent,https://2e.aonprd.com/Feats.aspx?ID=135,True
Furious Finish,Furious Finish,2,https://2e.aonprd.com/Search.aspx?query=Furious Finish,https://2e.aonprd.com/Feats.aspx?ID=136,True
No Escape,No Escape,2,https://2e.aonprd.com/Search.aspx?query=No Escape,https://2e.aonprd.com/Feats.aspx?ID=137,True
Second Wind,Second Wind,2,https://2e.aonprd.com/Search.aspx?query=Second Wind,https://2e.aonprd.com/Feats.aspx?ID=138,True
Shake it Off,Shake it Off,2,https://2e.aonprd.com/Search.aspx?query=Shake it Off,https://2e.aonprd.com/Feats.aspx?ID=139,True
Fast Movement,Fast Movement,4,https://2e.aonprd.com/Search.aspx?query=Fast Movement,https://2e.aonprd.com/Feats.aspx?ID=140,True
Raging Athlete,Raging Athlete,4,https://2e.aonprd.com/Search.aspx?query=Raging Athlete,https://2e.aonprd.com/Feats.aspx?ID=141,True
Swipe,Swipe,4,https://2e.aonprd.com/Search.aspx?query=Swipe,https://2e.aonprd.com/Feats.aspx?ID=142,True
Wounded Rage,Wounded Rage,4,https://2e.aonprd.com/Search.aspx?query=Wounded Rage,https://2e.aonprd.com/Feats.aspx?ID=143,True
Animal Skin,Animal Skin,6,https://2e.aonprd.com/Search.aspx?query=Animal Skin,https://2e.aonprd.com/Feats.aspx?ID=144,True
Attack of Opportunity (Barbarian),Attack of Opportunity,6,https://2e.aonprd.com/Search.aspx?query=Attack of Opportunity,https://2e.aonprd.com/Feats.aspx?ID=145,True
Brutal Bully,Brutal Bully,6,https://2e.aonprd.com/Search.aspx?query=Brutal Bully,https://2e.aonprd.com/Feats.aspx?ID=146,True
Cleave,Cleave,6,https://2e.aonprd.com/Search.aspx?query=Cleave,https://2e.aonprd.com/Feats.aspx?ID=147,True
Dragon’s Rage Breath,,-1,https://2e.aonprd.com/Search.aspx?query=Dragon’s Rage Breath,https://2e.aonprd.com/Search.aspx?query=Dragon%u2019s+Rage+Breath,False
Giant’s Stature,,-1,https://2e.aonprd.com/Search.aspx?query=Giant’s Stature,https://2e.aonprd.com/Search.aspx?query=Giant%u2019s+Stature,False
Spirits’ Interference,,-1,https://2e.aonprd.com/Search.aspx?query=Spirits’ Interference,https://2e.aonprd.com/Search.aspx?query=Spirits%u2019+Interference,False
Animal Rage,Animal Rage,8,https://2e.aonprd.com/Search.aspx?query=Animal Rage,https://2e.aonprd.com/Feats.aspx?ID=151,True
Furious Bully,Furious Bully,8,https://2e.aonprd.com/Search.aspx?query=Furious Bully,https://2e.aonprd.com/Feats.aspx?ID=152,True
Renewed Vigor,Renewed Vigor,8,https://2e.aonprd.com/Search.aspx?query=Renewed Vigor,https://2e.aonprd.com/Feats.aspx?ID=153,True
Share Rage,Share Rage,8,https://2e.aonprd.com/Search.aspx?query=Share Rage,https://2e.aonprd.com/Feats.aspx?ID=154,True
Sudden Leap (Barbarian),Sudden Leap,8,https://2e.aonprd.com/Search.aspx?query=Sudden Leap,https://2e.aonprd.com/Feats.aspx?ID=155,True
Thrash,Thrash,8,https://2e.aonprd.com/Search.aspx?query=Thrash,https://2e.aonprd.com/Feats.aspx?ID=156,True
Come and Get Me,,-1,https://2e.aonprd.com/Search.aspx?query=Come and Get Me,https://2e.aonprd.com/Search.aspx?query=Come+and+Get+Me,False
Furious Sprint,Furious Sprint,10,https://2e.aonprd.com/Search.aspx?query=Furious Sprint,https://2e.aonprd.com/Feats.aspx?ID=158,True
Great Cleave,Great Cleave,10,https://2e.aonprd.com/Search.aspx?query=Great Cleave,https://2e.aonprd.com/Feats.aspx?ID=159,True
Knockback,Knockback,10,https://2e.aonprd.com/Search.aspx?query=Knockback,https://2e.aonprd.com/Feats.aspx?ID=160,True
Terrifying Howl,Terrifying Howl,10,https://2e.aonprd.com/Search.aspx?query=Terrifying Howl,https://2e.aonprd.com/Feats.aspx?ID=161,True
Dragon’s Rage Wings,,-1,https://2e.aonprd.com/Search.aspx?query=Dragon’s Rage Wings,https://2e.aonprd.com/Search.aspx?query=Dragon%u2019s+Rage+Wings,False
Furious Grab,Furious Grab,12,https://2e.aonprd.com/Search.aspx?query=Furious Grab,https://2e.aonprd.com/Feats.aspx?ID=163,True
Predator’s Pounce,,-1,https://2e.aonprd.com/Search.aspx?query=Predator’s Pounce,https://2e.aonprd.com/Search.aspx?query=Predator%u2019s+Pounce,False
Spirit’s Wrath,,-1,https://2e.aonprd.com/Search.aspx?query=Spirit’s Wrath,https://2e.aonprd.com/Search.aspx?query=Spirit%u2019s+Wrath,False
Titan’s Stature,,-1,https://2e.aonprd.com/Search.aspx?query=Titan’s Stature,https://2e.aonprd.com/Search.aspx?query=Titan%u2019s+Stature,False
Awesome Blow,Awesome Blow,14,https://2e.aonprd.com/Search.aspx?query=Awesome Blow,https://2e.aonprd.com/Feats.aspx?ID=167,True
Giant’s Lunge,,-1,https://2e.aonprd.com/Search.aspx?query=Giant’s Lunge,https://2e.aonprd.com/Search.aspx?query=Giant%u2019s+Lunge,False
Vengeful Strike,Vengeful Strike,14,https://2e.aonprd.com/Search.aspx?query=Vengeful Strike,https://2e.aonprd.com/Feats.aspx?ID=169,True
Whirlwind Strike,Whirlwind Strike,14,https://2e.aonprd.com/Search.aspx?query=Whirlwind Strike,https://2e.aonprd.com/Feats.aspx?ID=170,True
Collateral Thrash,Collateral Thrash,16,https://2e.aonprd.com/Search.aspx?query=Collateral Thrash,https://2e.aonprd.com/Feats.aspx?ID=171,True
Dragon Transformation,Dragon Transformation,16,https://2e.aonprd.com/Search.aspx?query=Dragon Transformation,https://2e.aonprd.com/Feats.aspx?ID=172,True
Reckless Abandon,Reckless Abandon,16,https://2e.aonprd.com/Search.aspx?query=Reckless Abandon,https://2e.aonprd.com/Feats.aspx?ID=173,True
Brutal Critical,Brutal Critical,18,https://2e.aonprd.com/Search.aspx?query=Brutal Critical,https://2e.aonprd.com/Feats.aspx?ID=174,True
Perfect Clarity,Perfect Clarity,18,https://2e.aonprd.com/Search.aspx?query=Perfect Clarity,https://2e.aonprd.com/Feats.aspx?ID=175,True
Vicious Evisceration,Vicious Evisceration,18,https://2e.aonprd.com/Search.aspx?query=Vicious Evisceration,https://2e.aonprd.com/Feats.aspx?ID=176,True
Contagious Rage,Contagious Rage,20,https://2e.aonprd.com/Search.aspx?query=Contagious Rage,https://2e.aonprd.com/Feats.aspx?ID=177,True
Quaking Stomp,Quaking Stomp,20,https://2e.aonprd.com/Search.aspx?query=Quaking Stomp,https://2e.aonprd.com/Feats.aspx?ID=178,True
